ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,PRICE_REGR,YEAR
66969,178989,315171,42,6,105,1.223,7,0,1733.26,3823.55,2006.33,0,220231,2004
66971,177992,317683,43,6,137,1.017,7,1,1082.4,1625.64,2657.19,0,299437,2004
66975,174599,319351,50,1,170,0.414,7,1,1586.06,2258.87,2153.52,0,337430,2004
66979,173963,315845,42,1,140,1.686,7,1,2802.05,3234.08,937.54,0,244701,2004
66989,179582,318811,23,1,140,1.403,7,1,2630.67,3295.24,1108.91,0,344513,2004
66990,178033,317884,88,1,166,1.977,7,0,1188.03,1642.24,2551.56,0,343225,2004
67003,179649,317557,35,1,145,21.68,7,1,2626.19,3282.64,1113.39,0,381218,2004
67005,175942,321277,54,1,150,0.697,7,1,265.73,3328.82,3473.85,1,292353,2004
67012,177779,317391,79,1,130,0.942,3,0,780.42,1505.03,2959.17,0,257580,2004
67013,174287,317548,56,1,120,0.932,7,0,2385.67,2149.95,1353.91,0,257580,2004
67018,177417,316153,27,1,150,1.316,7,1,278.73,2093.06,3460.85,0,356748,2004
67020,174277,317148,53,1,125,1.283,7,0,2469.28,2273.57,1270.31,0,218943,2004
67023,178630,317793,55,1,160,1.398,7,1,1717.96,2244.18,2021.62,0,444326,2004
67033,174368,319516,22,4,120,0.459,7,1,1746,2542.61,1993.59,0,212139,2005
67045,177418,315638,100,8,150,0.715,8,0,329.74,2555.11,3409.85,0,289778,2004
67091,175130,316806,57,5,270,0.826,7,1,1665.78,1723.8,2073.8,0,740543,2004
67426,177653,322890,45,5,156,0.895,7,1,961.2,5069.96,2778.38,1,231822,2004
67680,173386,317291,23,4,95,1.187,7,0,3315.78,3084.96,423.8,0,244701,2004
67686,177508,315247,70,6,172,1.64,5,1,289.48,2950.3,3450.1,0,235042,2004
67695,175108,318633,60,7,110,0.981,7,0,1520.79,1442.27,2218.8,0,180306,2004
67734,177273,322990,53,1,118,0.641,7,1,568.73,5087.62,3170.86,1,206064,2004
67747,179593,319053,23,1,100,4.04,7,0,2613.01,3374.94,1126.58,0,224095,2004
68185,176846,323140,85,8,44,0.429,7,0,116.38,5180.81,3623.21,1,180306,2004
68201,177273,322990,53,6,162,2.51,7,1,568.73,5087.62,3170.86,1,264020,2004
68422,178493,316063,43,7,170,6.69,7,1,1303.29,2842.15,2436.3,0,292997,2004
68429,173172,317447,20,6,185,0.479,7,0,3503.5,3264.91,236.09,0,405689,2004
68430,177394,319665,53,7,999,0.351,7,1,400.44,1960.63,3339.15,0,334854,2004
68618,173211,317251,21,2,180,0.506,9,0,3495.07,3264.47,244.52,0,274323,2004
68632,178916,317019,51,9,150,0.842,5,1,1792.51,2698.88,1947.07,0,216367,2004
68637,177653,317211,17,6,190,0.669,5,0,603.98,1475.08,3135.6,0,145648,2005
68639,179021,315780,53,8,180,0.239,9,0,1874.49,3426.06,1865.1,0,283338,2004
68644,177383,319492,53,7,125,4.06,7,1,374.49,1807.97,3365.09,0,215723,2004
68646,177448,316350,31,7,120,0.706,7,1,222.65,1940.31,3516.93,0,256292,2004
68653,179512,316644,50,7,100,0.63,9,1,2292.9,3392.08,1446.68,0,292997,2004
68654,177967,318323,85,6,115,1.023,5,0,1108.97,1610.71,2630.61,0,182882,2004
68655,178659,317528,53,13,150,15.25,5,1,1658.68,2309.89,2080.9,0,386370,2004
68667,178579,317171,100,8,110,4.71,5,1,1505.18,2329.98,2234.4,0,212976,2006
68668,176412,320979,58,7,75,0.774,7,1,532.5,3000.14,3207.09,1,188033,2004
68669,179293,316289,46,7,125,3.02,7,1,2064.89,3355.89,1674.7,0,296217,2004
68671,174649,319472,51,8,182,0.443,7,1,1493.38,2296.14,2246.21,0,261444,2004
68672,174185,316586,45,6,95,3.8,7,1,2575.23,2610.85,1164.36,0,225383,2004
68675,178552,314899,29,5,90,0.819,6,0,1270.24,3760.77,2469.35,0,193185,2004
68784,177654,316314,31,3,100,0.177,7,0,431.74,2088.12,3307.85,0,228602,2004
68795,177579,316326,31,1,130,0.717,7,1,355.79,2033.96,3383.8,0,248565,2004
68799,178724,316035,35,4,100,0.738,7,0,1534.76,3034.66,2204.83,0,206440,2005
68811,178524,315975,32,6,105,6.03,7,1,1355.42,2924.69,2384.17,0,240837,2004
68817,176767,315226,100,6,143,5.05,7,0,50.66,2777.92,3688.92,0,344513,2004
68825,175002,318153,93,13,200,0.955,7,0,1634.15,1402.24,2105.43,0,373491,2004
68903,174104,316534,45,5,108,6.44,7,0,2649.92,2707.1,1089.66,0,248565,2004
68905,178931,314998,39,6,97,3.18,7,0,1661.95,3914.48,2077.64,0,215079,2004
68909,173399,316899,41,5,162,0.97,7,0,3381.59,3183.05,357.99,0,230534,2004
68913,176586,319340,24,5,80,0.91,6,0,89.77,1374.69,3649.81,0,195117,2004
68916,179556,316960,46,5,115,0.557,7,1,2389.58,3322.48,1350,0,283338,2004
68918,179318,316676,56,8,131,3.05,7,1,2103.91,3201.49,1635.68,0,264020,2004
68922,178801,317430,62,8,155,1.889,7,0,1770.75,2469.22,1968.83,0,273035,2004
68923,174368,317532,58,6,145,0.585,7,1,2307.86,2074.05,1431.72,0,341294,2004
68925,174352,319204,46,7,189,2.85,7,1,1871.95,2380.78,1867.63,0,344513,2004
68927,176511,319429,28,4,99,0.394,7,0,72.68,1454.89,3666.91,0,211216,2004
84485,177425,316115,33,5,125,2.9,7,0,312.19,2130.15,3427.39,0,240193,2004
84706,177471,317158,42,6,110,1.547,7,1,414.42,1354.52,3325.16,0,296217,2004
85014,177830,319171,100,6,140,4.91,7,0,849.44,1866.75,2890.15,0,212504,2004
86656,178819,317417,60,5,108,0.497,5,0,1785.47,2489.68,1954.11,0,216367,2004
88108,178187,318402,32,4,107,0.404,7,1,1306.54,1842.74,2433.05,0,199625,2004
88400,174174,319876,51,8,135,10.03,6,0,1742.04,2919.69,1997.54,0,334854,2004
89292,179436,319622,53,1,180,6.88,5,1,2431.09,3457.8,1308.5,0,283338,2004
90666,179126,317542,100,7,137,1.2,7,0,2112.77,2767.15,1626.81,0,249853,2004
